NoHealthCareCost,Health Care Cost Not Provided,Totaddemu nsasanya kubyobulamu,,,
NoDateProvided,Date not provided,Totaddemu naku zamwezzi,,,
RecordLabourUpdated,Labour Cost Record Update,Tugaseko ensasanya kubakozi,,,
RecordLabourCostSaved,Labour Cost Record Saved,"Ensasanya kubakozi Eterekeddwa, ",,,
AmountPaidNotProvided,Amount Paid Not Provided,Tottademu omuwendo gwewasasula,,,
NoOtherLabourType,Other Labour Type Not Provided,"Totaddemu bika byabakozi, ebilala",,,
LoanUpdated,Loan repayment record has been updated,Tugaseko ebipya kunsasula yamabanja,,,
LoanSaved,Loan repayment has been saved,Biterekeddwa ebipya kunsasula yamabanja,,,
NoTotalAmount,Total Amount Repaid Not Provided,Totaddemu muwendo gwe wakasasulako,,,
OtherUnitNotProvided,Other Unit Not Provided,Totaddemu epimo endala,,,
ManureUpdated,Manure sale record has been updated,Tugaseko ebipya kuntunda ye ebijimusa,,,
ManureSaved,Manure sale has been saved,Ebipya kuntunda ye ebijimusa Biterekeddwa ,,,
NoOtherSoldTo,Other Sold To Not Provided,Totaddemu abalala be waguza,,,
WaterCostUpdated,Water cost record has been updated,Tugaseko ensasaanya kumazzi,,,
MemberShipSaved,Membership has been saved,Biterekeddwa ebikwata kubwamemba bwo,,,
TimePeriodNotProvided,Time Period Not Provided,Totaddemu budde,,,
NoPeriodUnit,Time Period Unit Not Provided,Totaddemu ngeri jobazemu budde bwo,,,
NoOtherMemberShip,Other Membership Type Not Provided,Totaddemu bwamemba bwo obulala,,,
OtherCostUpdated,Other cost record has been updated,Tugaseko ebye'nsasanya endala,,,
OtherCostsSaved,Other Cost has been saved,Ensasanya endala eterekedwa,,,
OtherIncomeUpdated,Other income record has been updated,Tugaseko Ebye'nyingiza endala,,,
OtherIncomeSaved,Other income has been saved,Ebye'nyingiza endala biterekeddwa,,,
PigSaleUpdated,Pig sale record has been updated,Tugaseko ebipya kumbizi  ezatundwa,,,
PigSaleSaved,Pig sale has been saved,Ebye'mbizi sewatunda biterekeddwa,,,
NoSalePrice,Sale Price Not Provided,Totaddemu beyi jewatundi lako,,,
NoBrokerage,Brokerage Not Provided,Totaddemu  ebyakayungirizi,,,
NoOtherPigType,Other Pig Type Not Provided,Totaddemu ebika  ebilala ebye' mbizi,,,
ReproductionUpdated,Reproduction record has been updated,Tugaseko ebiwandiko ebipya ebyekusa kugwakko no' okuzaala,,,
ReproductionSaved,Reproduction record has been saved,Ebiwandiko ebyekusa kugwakko no' okuzaala bitrekeddwa,,,
NoSowsServiced,Sows Serviced Not Provided,"Totaddemu, mbizi enkazi zewawakisa",,,
NoOtherServiceProvider,Other Who Provided Service Not Provided,"Totademu, omulala eyakuwa obuwerezza buno ",,,
WaterSaved,Water record has been saved,Ebiwandiko bya' mazzi bitrekeddwa,,,
NoOtherPerson,Other Person Purchased From Not Provided,"Totademu, abalala bewagulako ",,,
About,About,Ebikwatagana ne,,,
NoCountry,Country Not Provided,Totaddemu  erinya lyensiyo jova,,,
LastData,Last Data Update: ,Lwewasemba yo'kutekakko ebipya,,,
Hello,Hello ,Abeenno,,,
Viilage,Village: ,Ekyaalo,,,
FailedToLoad,Failed to Load Item,Kyosindika Tekyigenze,,,
SendingData,Sending Data,Obubakka buli kusindikibwa,,,
NoUsername,Username Not provided,Totaddemu elinya lyo kozesa kuno,,,
NoName,Name Not provided,Totaddemu linya lyo,,,
NoPhoneNumber,Phone Number Not Provided,Totaddemu namba ya simu yo,,,
NoCurrency,Currency Not Provided,Totaddemu kyika kyasente,,,
DataUploaded,Data Uploaded!,Obubakka buwerezeddwa,,,
